MatchId,MatchName,LeagueName,SeasonName,StartDateTime,battingFirstName,battingFirstId,bowlingFirstName,bowlingFirstId,battingFirstScoreRuns,battingFirstScoreWickets,battingFirstScoreOvers,battingFirstScoreBalls,bowlingFirstScoreRuns,bowlingFirstScoreWickets,bowlingFirstScoreOvers,bowlingFirstScoreBalls,league_id,season_id
268470,Round 1,JJ Holland Midweek,2019 Spring,2019-10-21T06:33:37Z,Poms & Convicts,17119,The Nutty Cuckoo Super Kings,18132,169,4,20,0,173,2,15,4,1398,105
268469,Round 1,JJ Holland Midweek,2019 Spring,2019-10-21T06:48:36Z,Batty Boys,5888,Workers Club Lions,16726,180,2,20,0,170,2,20,0,1398,105
268471,Round 1,JJ Holland Midweek,2019 Spring,2019-10-24T06:42:53Z,The Hunts,9013,The Michael Bevans,11117,194,3,20,0,197,3,18,1,1398,105
268474,Round 2,JJ Holland Midweek,2019 Spring,2019-10-28T06:35:43Z,Batty Boys,5888,Poms & Convicts,17119,216,4,20,0,69,8,15,2,1398,105
268473,Round 2,JJ Holland Midweek,2019 Spring,2019-10-28T06:40:11Z,The Hunts,9013,Workers Club Lions,16726,171,3,20,0,145,5,20,0,1398,105
268472,Round 2,JJ Holland Midweek,2019 Spring,2019-10-31T06:42:02Z,The Nutty Cuckoo Super Kings,18132,The Michael Bevans,11117,97,8,16,0,101,1,9,3,1398,105
268480,Round 4,JJ Holland Midweek,2019 Spring,2019-11-11T06:31:24Z,The Hunts,9013,The Nutty Cuckoo Super Kings,18132,208,3,20,0,133,8,17,1,1398,105
268478,Round 4,JJ Holland Midweek,2019 Spring,2019-11-11T06:42:39Z,Workers Club Lions,16726,Poms & Convicts,17119,169,3,20,0,143,5,20,0,1398,105
268479,Round 4,JJ Holland Midweek,2019 Spring,2019-11-14T06:43:51Z,Batty Boys,5888,The Michael Bevans,11117,172,3,20,0,154,4,20,0,1398,105
268481,Round 5,JJ Holland Midweek,2019 Spring,2019-11-18T06:38:11Z,The Hunts,9013,Poms & Convicts,17119,235,4,20,0,156,5,20,0,1398,105
268482,Round 5,JJ Holland Midweek,2019 Spring,2019-11-18T06:38:51Z,The Nutty Cuckoo Super Kings,18132,Batty Boys,5888,148,3,20,0,151,3,13,3,1398,105
268483,Round 5,JJ Holland Midweek,2019 Spring,2019-11-21T06:45:09Z,Workers Club Lions,16726,The Michael Bevans,11117,210,6,20,0,127,2,20,0,1398,105
268484,Round 6,JJ Holland Midweek,2019 Spring,2019-11-25T06:37:11Z,Poms & Convicts,17119,The Nutty Cuckoo Super Kings,18132,119,7,18,1,120,5,18,0,1398,105
268485,Round 6,JJ Holland Midweek,2019 Spring,2019-11-25T06:48:30Z,Batty Boys,5888,Workers Club Lions,16726,128,7,20,0,122,3,20,0,1398,105
268486,Round 6,JJ Holland Midweek,2019 Spring,2019-11-28T06:39:57Z,The Hunts,9013,The Michael Bevans,11117,233,3,20,0,159,5,20,0,1398,105
268489,Round 7,JJ Holland Midweek,2019 Spring,2019-12-02T06:37:38Z,Poms & Convicts,17119,Batty Boys,5888,143,4,20,0,145,5,16,2,1398,105
268488,Round 7,JJ Holland Midweek,2019 Spring,2019-12-02T06:43:36Z,The Hunts,9013,Workers Club Lions,16726,190,6,20,0,148,3,20,0,1398,105
268487,Round 7,JJ Holland Midweek,2019 Spring,2019-12-05T06:37:05Z,The Michael Bevans,11117,The Nutty Cuckoo Super Kings,18132,177,8,19,2,144,6,20,0,1398,105
268475,Round 3,JJ Holland Midweek,2019 Spring,2019-12-09T06:37:36Z,Batty Boys,5888,The Hunts,9013,210,4,20,0,156,5,20,0,1398,105
268477,Round 3,JJ Holland Midweek,2019 Spring,2019-12-09T06:49:46Z,Workers Club Lions,16726,The Nutty Cuckoo Super Kings,18132,164,3,20,0,125,6,20,0,1398,105
