$id,$type,AdditionalRunsNotFromBat,Runs,CatcherUserId,BatsmanId
304127195,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
13175900,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
584943120,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
349508603,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
857531662,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
77614106,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
682544266,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
83445065,live_scoring_core.events.outdoor_cricket.ball_results.LegBye,1,NA,NA,NA
915607730,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
554950895,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
1025584505,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
812942639,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
793842755,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
46966854,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
583137266,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,2,NA,NA
488050368,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
1062330234,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
184041242,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
860092481,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
105452647,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
133201246,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
364544652,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
350697548,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
987044155,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
639454699,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
759843337,live_scoring_core.events.outdoor_cricket.ball_results.NoBall,0,NA,NA,NA
893277434,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
801025941,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
969280817,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
634807186,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
494430065,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
429014140,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
548290236,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
123723086,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
651082739,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
389326378,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
206748992,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
